lid,fid,location_name,lat,lng
1,406,SANDY SPRINGS GA,33.9222,-84.37957
3,411,GREENVILLE SC,34.87122,-82.37322
5,413,ATLANTA GA,33.8368,-84.31107
7,419,COLUMBIA SC,33.99896,-81.03487
9,423,HUNTSVILLE AL,34.70499,-86.58768
11,451,BILOXI MS,30.38867,-88.99587
13,457,ROSWELL GA,34.0405,-84.34282
15,473,LITHIA SPRINGS GA,33.77844,-84.6056
17,475,VIRGINIA BEACH VA,36.7996,-76.17454
19,478,ALEXANDRIA VA,38.81682,-77.14117
21,492,MATTHEWS NC,35.1399,-80.7171
23,493,CHESAPEAKE VA,36.74087,-76.24228
25,499,GRIFFIN GA,33.27169,-84.29149
27,520,HAMPTON VA,37.04432,-76.3778
29,562,BOWIE MD,38.97998,-76.73503
31,573,ROANOKE VA,37.22914,-79.96987
33,574,CHRISTIANSBURG VA,37.16448,-80.42475
35,577,NORFOLK VA,36.86763,-76.28463
37,578,ALEXANDRIA VA,38.83598,-77.05072
39,585,VIRGINIA BEACH VA,36.78768,-75.99778
41,587,HARRISONBURG VA,38.43025,-78.84716
43,595,CHARLOTTESVILLE VA,38.0862,-78.47193
45,597,WINCHESTER VA,39.15947,-78.15734
47,598,NORFOLK VA,36.86795,-76.21164
49,612,SEATTLE WA,47.61185,-122.31967
51,670,SPRINGFIELD OR,44.08339,-123.04115
53,675,PORTLAND OR,45.48683,-122.57911
55,708,GLENDALE CA,34.15498,-118.243
57,717,LOS ANGELES CA,34.06394,-118.29068
59,735,AGOURA CA,34.14516,-118.76224
61,757,SAN FERNANDO CA,34.2856,-118.44292
63,767,MONTEREY PARK CA,34.03995,-118.1423
65,788,"Bakersfield, CA",35.35432,-119.3314
67,794,PALMDALE CA,34.59493,-118.14711
69,795,TUJUNGA CA,34.2456,-118.27507
71,814,VISTA CA,33.16681,-117.21573
73,817,NATIONAL CITY CA,32.67653,-117.09137
75,820,OCEANSIDE CA,33.19259,-117.35871
77,825,LA MESA CA,32.75202,-117.01019
79,902,BUENA PARK CA,33.84746,-117.99759
81,908,FULLERTON CA,33.85974,-117.92632
83,922,COSTA MESA CA,33.68355,-117.91967
85,928,PALM SPRINGS CA,33.81609,-116.54578
87,932,RANCHO MIRAGE CA,33.80042,-116.38864
89,943,HIGHLAND CA,34.13555,-117.23095
91,944,LA QUINTA CA,33.70775,-116.2715
93,1203,EVANSTON IL,42.01981,-87.6905
